sampes,Full fine-tuning,Encoder fine-tuning,Decoder fine-tuning,BitFit,Encoder BitFit,Decoder BitFit,Input reprogramming,Adapter 64,Adapter 128,Adapter 256
500,86.54%,87.50%,67.79%,31.37%,23.56%,20.43%,22.96%,72.12%,71.88%,73.20%
1000,78.61%,85.94%,65.38%,40.02%,34.13%,29.33%,22.24%,71.75%,68.87%,69.71%
2000,90.63%,88.58%,73.92%,54.21%,43.51%,36.06%,25.12%,80.05%,82.33%,85.34%
5000,96.88%,95.31%,92.79%,61.54%,42.55%,37.14%,27.04,90.38%,92.67%,93.63%
10000,95.55%,96.39%,95.07%,59.01%,44.23%,36.78%,27.04,92.79%,93.99%,95.55%
